item_id,time_period,category,silhouette,neckline,sleeve_type,hemline,primary_color,secondary_color,pattern,fabric,sustainability_label,price_segment,year,quarter,search_volume,social_mentions,runway_appearances,celebrity_wears,influencer_posts,retail_availability,price_index,units_sold,return_rate,avg_rating,review_count,trend_score,trending_next_quarter
FSH102563,2020-Q4,Accessories,Relaxed,V-Neck,Cap,Maxi,Beige,Multi,Solid,Silk,Conventional,Premium,2020,Q4,260,222,3,0,35,0.85,247.56,828,17.5,4.57,2160,39.9,0
FSH102564,2023-Q2,Accessories,Oversized,Scoop,Sleeveless,Knee-Length,Brown,None,Striped,Satin,Organic,Mid-Range,2023,Q2,27438,340,2,2,270,0.37,472.07,280,10.2,3.25,64,62.1,1
FSH102565,2021-Q4,Dresses,Relaxed,V-Neck,Short,Cropped,Brown,Grey,Geometric,Wool,Recycled,Premium,2021,Q4,2538,944,6,2,55,0.26,373.51,2714,40.0,3.29,314,58.5,1
FSH102566,2024-Q3,Bottoms,Flowy,Crew,Short,Knee-Length,Black,Pink,Floral,Satin,Conventional,Mid-Range,2024,Q3,7356,691,3,1,23,0.88,260.52,647,21.1,3.69,21,33.0,0
FSH102567,2020-Q2,Bottoms,Relaxed,Crew,Long,Cropped,Blue,Black,Tie-Dye,Velvet,Conventional,Mid-Range,2020,Q2,62209,722,3,3,229,0.68,457.94,751,32.4,2.41,859,40.0,0
FSH102568,2019-Q1,Dresses,Relaxed,Square,Three-Quarter,Mini,Beige,Multi,Polka Dot,Satin,Organic,Premium,2019,Q1,6116,7760,1,2,148,0.66,241.93,117,22.0,4.74,100,43.0,0
FSH102569,2023-Q2,Tops,Relaxed,Scoop,Long,Mini,Grey,None,Plaid,Denim,Conventional,Premium,2023,Q2,6468,9520,1,2,568,0.65,158.39,61,14.1,4.05,68,45.3,0
FSH102570,2016-Q2,Tops,Oversized,Off-Shoulder,Bell,Mini,White,Grey,Plaid,Velvet,Organic,Mid-Range,2016,Q2,2475,560,6,2,38,1.0,102.82,7,25.2,4.18,886,47.4,0
FSH102571,2016-Q2,Bottoms,Oversized,Scoop,Bell,Knee-Length,Purple,Grey,Plaid,Polyester,Sustainable,Mid-Range,2016,Q2,55680,3324,2,0,121,0.68,316.07,789,8.8,4.32,70,46.4,0
FSH102572,2023-Q2,Outerwear,Oversized,Crew,Short,Cropped,Pink,Yellow,Abstract,Polyester,Conventional,Budget,2023,Q2,474,1749,2,2,288,0.23,294.01,19,22.5,4.48,4,65.0,1
FSH102573,2015-Q1,Outerwear,Tailored,Square,Bell,Midi,Navy,Red,Abstract,Knit,Upcycled,Mid-Range,2015,Q1,3225,65,3,3,47,0.85,293.8,683,10.8,3.29,11,54.5,1
FSH102574,2017-Q2,Dresses,Tailored,Scoop,Short,Maxi,Navy,None,Plaid,Satin,Organic,Mid-Range,2017,Q2,5226,1628,5,2,118,0.4,495.21,2403,17.9,4.22,5,42.5,0
FSH102575,2020-Q1,Footwear,Structured,Off-Shoulder,Short,Knee-Length,Black,Navy,Abstract,Cotton,Recycled,Premium,2020,Q1,646,876,3,0,220,0.74,68.59,6898,6.9,4.29,5,43.3,0
FSH102576,2016-Q1,Outerwear,Fitted,Square,Sleeveless,Mini,Orange,Red,Solid,Wool,Sustainable,Mid-Range,2016,Q1,4241,473,6,3,556,0.73,213.1,50,11.8,4.3,32,62.7,1
FSH102577,2015-Q2,Accessories,Structured,Square,Long,Midi,White,Navy,Floral,Polyester,Conventional,Mid-Range,2015,Q2,1610,674,2,0,274,0.77,110.42,1046,23.2,5.0,298,30.4,0
FSH102578,2020-Q2,Bottoms,Fitted,V-Neck,Cap,Cropped,Purple,Multi,Geometric,Wool,Conventional,Budget,2020,Q2,3542,1388,3,1,72,0.93,117.72,1340,36.4,4.61,153,52.7,1
FSH102579,2015-Q2,Accessories,Structured,Off-Shoulder,Three-Quarter,Cropped,Grey,None,Solid,Wool,Conventional,Mid-Range,2015,Q2,855,7594,2,0,759,0.79,132.79,57,9.9,4.95,88,37.5,0
FSH102580,2017-Q2,Footwear,Relaxed,V-Neck,Three-Quarter,Cropped,Navy,Navy,Animal Print,Denim,Conventional,Premium,2017,Q2,986,325,3,1,574,0.94,271.76,72,19.6,3.68,199,28.1,0
FSH102581,2023-Q2,Bottoms,Flowy,Crew,Sleeveless,Knee-Length,White,Navy,Plaid,Velvet,Sustainable,Mid-Range,2023,Q2,4190,5538,2,3,147,0.27,417.51,298,10.5,3.5,33,52.5,1
FSH102582,2018-Q4,Tops,Tailored,High-Neck,Long,Maxi,Beige,Purple,Solid,Cotton,Conventional,Premium,2018,Q4,1687,649,6,4,19,0.43,51.95,939,38.7,3.81,284,54.5,1
FSH102583,2024-Q3,Accessories,Oversized,Scoop,Three-Quarter,Maxi,Orange,Navy,Solid,Velvet,Conventional,Mid-Range,2024,Q3,1517,7182,3,2,40,0.59,159.73,2701,5.9,4.19,41,61.9,1
FSH102584,2020-Q2,Outerwear,Oversized,High-Neck,Short,Midi,Grey,Red,Plaid,Wool,Sustainable,Mid-Range,2020,Q2,980,2638,6,3,138,0.36,250.52,1464,14.0,3.78,9,68.7,1
FSH102585,2017-Q4,Accessories,Structured,Off-Shoulder,Long,Floor-Length,Red,Green,Plaid,Velvet,Sustainable,Premium,2017,Q4,2911,3446,3,1,118,0.56,492.69,130,13.6,2.51,407,30.0,0
FSH102586,2020-Q4,Footwear,Relaxed,V-Neck,Bell,Mini,Pink,None,Plaid,Silk,Sustainable,Premium,2020,Q4,6626,1271,1,2,1924,0.57,200.77,1038,10.7,4.3,25,40.8,0
FSH102587,2024-Q4,Outerwear,Tailored,Off-Shoulder,Three-Quarter,Floor-Length,Beige,Green,Solid,Wool,Recycled,Budget,2024,Q4,1095,262,1,3,87,0.96,369.4,180,13.3,4.59,225,68.4,1
FSH102588,2024-Q2,Dresses,Oversized,Off-Shoulder,Long,Floor-Length,Orange,Beige,Animal Print,Wool,Conventional,Premium,2024,Q2,13004,102,8,4,214,0.83,306.23,68,5.6,3.08,1958,81.7,1
FSH102589,2017-Q2,Tops,Fitted,Crew,Sleeveless,Floor-Length,Multi,White,Solid,Silk,Conventional,Budget,2017,Q2,13294,133,3,1,47,0.11,142.63,1993,20.5,5.0,254,28.8,0
FSH102590,2023-Q3,Accessories,Flowy,Off-Shoulder,Cap,Mini,Navy,Yellow,Tie-Dye,Leather,Organic,Budget,2023,Q3,18268,4884,3,1,119,0.59,256.37,1927,4.5,4.07,133,51.4,0
FSH102591,2022-Q4,Tops,Relaxed,Scoop,Cap,Mini,Orange,Blue,Solid,Cotton,Conventional,Mid-Range,2022,Q4,3599,2370,6,1,835,0.9,403.8,2099,32.5,4.2,22,47.8,0
FSH102592,2016-Q3,Dresses,Fitted,Crew,Long,Mini,Yellow,Green,Striped,Leather,Conventional,Premium,2016,Q3,4273,4944,2,0,171,0.12,192.84,1855,8.2,5.0,16,28.6,0
FSH102593,2020-Q1,Outerwear,Structured,High-Neck,Sleeveless,Midi,Red,Brown,Animal Print,Knit,Conventional,Mid-Range,2020,Q1,11073,17869,3,1,32,0.96,190.81,635,7.3,4.27,145,37.5,0
FSH102594,2019-Q4,Outerwear,Structured,Off-Shoulder,Three-Quarter,Midi,Beige,Orange,Solid,Polyester,Conventional,Mid-Range,2019,Q4,13364,327,6,0,32,0.87,235.07,1203,12.1,3.8,18,42.6,0
FSH102595,2021-Q2,Tops,Structured,High-Neck,Short,Cropped,Purple,Yellow,Plaid,Polyester,Organic,Mid-Range,2021,Q2,518,298,1,2,721,0.66,288.77,213,18.6,3.33,2866,45.3,0
FSH102596,2015-Q4,Tops,Structured,Scoop,Long,Knee-Length,Orange,Green,Solid,Wool,Recycled,Budget,2015,Q4,11397,297,0,3,20,0.22,452.17,2160,1.0,4.19,115,31.4,0
FSH102597,2020-Q2,Bottoms,Fitted,Scoop,Long,Maxi,Beige,Red,Solid,Satin,Organic,Mid-Range,2020,Q2,4021,603,4,3,95,0.21,88.19,303,19.9,4.0,78,57.6,1
FSH102598,2018-Q3,Dresses,Oversized,Scoop,Three-Quarter,Floor-Length,Red,Brown,Solid,Polyester,Conventional,Premium,2018,Q3,2584,1450,6,0,91,0.33,367.35,66,24.4,3.93,118,56.2,1
FSH102599,2024-Q4,Footwear,Relaxed,High-Neck,Short,Midi,Navy,Blue,Solid,Linen,Upcycled,Mid-Range,2024,Q4,1226,265,4,3,12,0.24,344.84,971,13.0,3.47,88,38.4,0
FSH102600,2020-Q1,Tops,Tailored,High-Neck,Short,Floor-Length,White,Beige,Striped,Velvet,Conventional,Budget,2020,Q1,3849,1589,1,3,60,0.67,305.27,105,19.7,4.44,58,35.9,0
FSH102601,2018-Q3,Footwear,Fitted,V-Neck,Three-Quarter,Maxi,Multi,Red,Tie-Dye,Denim,Organic,Mid-Range,2018,Q3,771,216,2,2,117,0.2,265.72,1924,25.2,3.81,316,30.8,0
FSH102602,2020-Q2,Footwear,Relaxed,Crew,Long,Cropped,White,Beige,Floral,Denim,Conventional,Budget,2020,Q2,606,88,3,2,262,0.76,201.16,14,11.8,4.22,366,53.7,1
FSH102603,2021-Q4,Outerwear,Tailored,Square,Three-Quarter,Cropped,Grey,Grey,Striped,Leather,Sustainable,Luxury,2021,Q4,2107,448,3,2,26,0.47,205.15,24,5.0,3.45,26,46.4,0
FSH102604,2018-Q2,Tops,Tailored,Off-Shoulder,Cap,Floor-Length,Beige,Brown,Solid,Leather,Conventional,Mid-Range,2018,Q2,17136,2691,5,1,64,0.39,147.97,106,27.5,4.22,297,51.4,0
FSH102605,2021-Q3,Bottoms,Flowy,Crew,Three-Quarter,Midi,Black,Green,Solid,Denim,Sustainable,Mid-Range,2021,Q3,6273,194,2,1,147,0.96,145.89,102,12.7,3.21,15,54.1,1
FSH102606,2024-Q4,Bottoms,Fitted,Scoop,Sleeveless,Mini,Navy,Red,Plaid,Satin,Organic,Mid-Range,2024,Q4,3797,842,3,3,184,0.11,282.64,867,13.0,3.97,4,55.8,1
FSH102607,2021-Q4,Tops,Structured,Off-Shoulder,Long,Knee-Length,Black,Multi,Solid,Polyester,Sustainable,Mid-Range,2021,Q4,2119,780,1,4,52,0.44,212.2,685,23.4,3.91,0,48.1,0
FSH102608,2021-Q2,Footwear,Oversized,V-Neck,Bell,Maxi,Multi,Black,Plaid,Knit,Recycled,Luxury,2021,Q2,114401,2203,3,3,84,0.2,431.12,7925,23.3,3.91,33,60.4,1
FSH102609,2015-Q2,Bottoms,Flowy,Crew,Bell,Maxi,Navy,Pink,Abstract,Denim,Recycled,Mid-Range,2015,Q2,717,296,3,1,167,0.89,133.12,54,27.2,3.86,473,34.6,0
FSH102610,2021-Q1,Footwear,Fitted,Scoop,Sleeveless,Cropped,Brown,None,Solid,Silk,Recycled,Budget,2021,Q1,3798,20980,3,1,54,0.24,329.62,402,39.9,4.41,10,52.5,1
FSH102611,2015-Q3,Dresses,Relaxed,Off-Shoulder,Long,Maxi,Beige,White,Animal Print,Satin,Sustainable,Luxury,2015,Q3,2124,1749,1,0,299,0.4,437.16,262,36.6,3.29,42,25.2,0
FSH102612,2016-Q4,Dresses,Oversized,Off-Shoulder,Long,Mini,Blue,None,Geometric,Satin,Conventional,Luxury,2016,Q4,11870,1324,4,2,36,0.31,203.54,519,22.3,3.68,422,46.9,0
FSH102613,2023-Q1,Accessories,Fitted,Scoop,Cap,Midi,Navy,Red,Floral,Linen,Recycled,Mid-Range,2023,Q1,9746,414,7,1,18,0.65,307.43,210,13.1,4.96,32,70.1,1
FSH102614,2023-Q3,Bottoms,Structured,High-Neck,Three-Quarter,Knee-Length,Black,Brown,Solid,Satin,Conventional,Mid-Range,2023,Q3,3601,908,2,3,33,0.55,223.14,2520,16.2,4.68,41,48.4,0
FSH102615,2016-Q2,Bottoms,Flowy,Crew,Bell,Knee-Length,Grey,Purple,Floral,Leather,Sustainable,Budget,2016,Q2,19483,253,5,4,48,0.9,90.75,182,10.4,3.26,33,61.7,1
FSH102616,2024-Q3,Bottoms,Structured,Off-Shoulder,Three-Quarter,Mini,Blue,Grey,Animal Print,Velvet,Sustainable,Budget,2024,Q3,5214,1610,2,0,52,0.91,183.81,28,8.8,3.85,16,53.9,1
FSH102617,2020-Q3,Tops,Oversized,High-Neck,Bell,Maxi,Black,Orange,Striped,Polyester,Organic,Mid-Range,2020,Q3,1611,3019,6,1,26,0.15,237.16,160,14.5,3.46,24,49.0,0
FSH102618,2021-Q1,Outerwear,Flowy,V-Neck,Bell,Mini,Brown,Orange,Floral,Wool,Sustainable,Premium,2021,Q1,1179,1033,3,3,85,0.72,476.34,14772,8.6,4.28,174,72.2,1
FSH102619,2019-Q3,Dresses,Fitted,Off-Shoulder,Bell,Knee-Length,Green,Brown,Solid,Linen,Upcycled,Budget,2019,Q3,1061,2217,4,2,47,0.65,287.84,59,7.5,4.2,51,41.2,0
FSH102620,2016-Q1,Bottoms,Relaxed,Off-Shoulder,Cap,Mini,White,Brown,Solid,Denim,Conventional,Premium,2016,Q1,1805,306,5,1,286,0.96,345.15,174,9.2,4.04,296,49.2,0
FSH102621,2017-Q3,Bottoms,Oversized,V-Neck,Cap,Knee-Length,Grey,White,Solid,Polyester,Conventional,Mid-Range,2017,Q3,10162,1097,5,5,182,0.43,112.45,706,22.9,4.48,7,56.7,1
FSH102622,2017-Q4,Accessories,Fitted,V-Neck,Short,Maxi,Blue,Beige,Floral,Polyester,Conventional,Premium,2017,Q4,924,2679,4,2,154,0.4,458.86,5068,10.3,3.7,14,34.9,0
FSH102623,2017-Q2,Bottoms,Fitted,Square,Sleeveless,Floor-Length,Pink,Brown,Striped,Cotton,Sustainable,Budget,2017,Q2,3486,974,5,1,255,0.14,132.31,696,28.0,4.52,186,45.7,0
FSH102624,2016-Q4,Dresses,Relaxed,Square,Long,Knee-Length,White,Purple,Solid,Knit,Sustainable,Mid-Range,2016,Q4,1068,601,6,0,622,0.51,213.32,11,25.6,4.44,11,39.9,0
FSH102625,2020-Q4,Bottoms,Tailored,Off-Shoulder,Short,Mini,Pink,None,Plaid,Polyester,Recycled,Premium,2020,Q4,7406,152,5,3,50,0.73,496.9,2526,6.1,4.25,74,60.4,1
FSH102626,2021-Q4,Dresses,Tailored,Scoop,Three-Quarter,Cropped,White,Purple,Floral,Wool,Sustainable,Mid-Range,2021,Q4,5888,332,2,4,496,0.44,227.92,833,15.5,3.99,111,65.1,1
FSH102627,2023-Q4,Tops,Oversized,V-Neck,Short,Knee-Length,White,Yellow,Plaid,Linen,Sustainable,Premium,2023,Q4,6885,7085,5,1,138,0.53,77.41,3856,15.8,3.97,63,55.3,1
FSH102628,2024-Q1,Dresses,Fitted,High-Neck,Three-Quarter,Cropped,White,Green,Floral,Linen,Conventional,Mid-Range,2024,Q1,2461,684,2,1,156,0.89,272.28,86,28.6,4.61,132,48.1,0
FSH102629,2020-Q1,Bottoms,Fitted,V-Neck,Cap,Cropped,Blue,Multi,Solid,Knit,Sustainable,Mid-Range,2020,Q1,175,40218,1,2,64,0.7,369.15,294,25.6,4.15,464,41.0,0
FSH102630,2016-Q4,Dresses,Relaxed,Off-Shoulder,Long,Cropped,Blue,None,Solid,Knit,Conventional,Premium,2016,Q4,4009,5008,3,3,561,0.83,231.96,915,1.6,2.67,7,34.3,0
FSH102631,2017-Q1,Bottoms,Relaxed,Off-Shoulder,Long,Mini,Black,Red,Solid,Leather,Sustainable,Luxury,2017,Q1,5834,467,3,1,310,0.65,84.88,385,14.8,4.84,6,43.4,0
FSH102632,2018-Q3,Accessories,Fitted,Crew,Long,Mini,Blue,White,Solid,Leather,Sustainable,Premium,2018,Q3,1280,29,2,1,23,0.56,341.83,45,7.8,3.55,160,40.6,0
FSH102633,2024-Q4,Outerwear,Structured,High-Neck,Bell,Maxi,Black,Brown,Abstract,Knit,Organic,Budget,2024,Q4,3036,555,2,2,750,0.93,147.33,277,22.5,4.24,44,66.0,1
FSH102634,2019-Q2,Dresses,Structured,Crew,Bell,Knee-Length,Purple,White,Floral,Wool,Conventional,Premium,2019,Q2,2079,243,2,1,153,0.99,270.56,155,40.0,4.57,105,27.7,0
FSH102635,2019-Q4,Tops,Relaxed,V-Neck,Cap,Floor-Length,Brown,None,Tie-Dye,Denim,Conventional,Mid-Range,2019,Q4,1507,263,3,3,93,0.56,350.82,76,8.0,3.82,269,40.2,0
FSH102636,2016-Q2,Outerwear,Flowy,Crew,Three-Quarter,Midi,Brown,Green,Abstract,Cotton,Conventional,Budget,2016,Q2,1778,388,5,3,312,0.66,94.32,283,19.9,4.26,19,53.0,1
FSH102637,2017-Q4,Accessories,Flowy,Off-Shoulder,Cap,Floor-Length,White,Grey,Solid,Denim,Organic,Premium,2017,Q4,19462,235,3,2,271,0.82,280.7,472,4.3,3.47,35,42.0,0
FSH102638,2015-Q2,Dresses,Oversized,Scoop,Long,Cropped,Multi,Multi,Abstract,Cotton,Organic,Mid-Range,2015,Q2,1371,103,1,1,273,0.73,114.52,67,38.1,3.8,253,44.7,0
FSH102639,2016-Q3,Footwear,Fitted,V-Neck,Long,Knee-Length,Orange,Purple,Animal Print,Knit,Conventional,Premium,2016,Q3,1968,3168,3,2,571,0.14,211.19,34,40.0,4.55,31,44.7,0
FSH102640,2018-Q4,Bottoms,Tailored,Off-Shoulder,Long,Cropped,Red,Brown,Tie-Dye,Satin,Recycled,Premium,2018,Q4,1752,188,1,2,83,0.32,318.51,1523,39.7,4.15,128,31.2,0
FSH102641,2015-Q3,Bottoms,Structured,V-Neck,Three-Quarter,Floor-Length,Black,Beige,Geometric,Denim,Conventional,Budget,2015,Q3,8177,2442,4,1,180,0.82,156.86,2759,18.8,4.51,6,43.4,0
FSH102642,2015-Q3,Accessories,Relaxed,Crew,Three-Quarter,Maxi,Pink,Purple,Solid,Velvet,Recycled,Premium,2015,Q3,3621,5057,3,2,465,0.15,124.08,470,14.6,3.91,18,48.4,0
FSH102643,2021-Q3,Outerwear,Structured,Crew,Short,Mini,White,Brown,Striped,Silk,Conventional,Mid-Range,2021,Q3,8100,430,3,0,385,0.24,123.72,336,18.7,4.25,230,30.0,0
FSH102644,2024-Q4,Footwear,Oversized,Square,Short,Floor-Length,Green,Orange,Striped,Denim,Recycled,Budget,2024,Q4,3098,3398,1,1,386,0.71,114.39,438,40.0,4.18,1,54.2,1
FSH102645,2024-Q2,Tops,Structured,V-Neck,Sleeveless,Floor-Length,Multi,Blue,Polka Dot,Velvet,Organic,Mid-Range,2024,Q2,14735,346,2,1,190,0.47,354.76,547,10.7,3.6,153,47.5,0
FSH102646,2023-Q1,Bottoms,Oversized,Square,Three-Quarter,Midi,Brown,Green,Solid,Linen,Conventional,Budget,2023,Q1,1970,561,2,2,338,0.88,89.24,507,10.8,3.89,45,61.0,1
FSH102647,2021-Q4,Outerwear,Oversized,V-Neck,Cap,Floor-Length,Navy,Multi,Solid,Wool,Conventional,Mid-Range,2021,Q4,307,240,4,3,553,0.72,216.21,845,25.4,2.99,5,56.5,1
FSH102648,2015-Q1,Tops,Flowy,Crew,Three-Quarter,Mini,Beige,Orange,Striped,Wool,Conventional,Premium,2015,Q1,6456,361,3,1,101,1.0,239.04,405,16.4,3.61,91,35.1,0
FSH102649,2016-Q4,Bottoms,Structured,V-Neck,Short,Maxi,Orange,Yellow,Solid,Knit,Sustainable,Premium,2016,Q4,9811,4131,1,3,15,0.59,281.89,300,12.3,3.44,150,45.1,0
FSH102650,2024-Q1,Tops,Fitted,Square,Bell,Maxi,Black,Blue,Solid,Silk,Recycled,Mid-Range,2024,Q1,16912,906,5,2,249,0.46,393.48,1320,6.7,4.81,19,64.6,1
FSH102651,2022-Q4,Dresses,Fitted,Crew,Long,Cropped,Purple,Beige,Striped,Leather,Conventional,Budget,2022,Q4,3911,756,11,2,74,0.76,125.05,181,17.0,5.0,125,58.1,1
FSH102652,2024-Q1,Tops,Relaxed,Square,Short,Mini,Black,Green,Floral,Knit,Sustainable,Budget,2024,Q1,942,1777,3,2,112,0.43,238.48,102,7.2,4.52,175,63.2,1
FSH102653,2015-Q4,Outerwear,Oversized,V-Neck,Short,Mini,Beige,Navy,Solid,Wool,Recycled,Luxury,2015,Q4,25463,16844,3,1,710,0.35,475.32,82,5.4,3.97,28,41.1,0
FSH102654,2022-Q2,Accessories,Relaxed,Scoop,Bell,Midi,Brown,Red,Solid,Cotton,Conventional,Mid-Range,2022,Q2,3746,129,1,2,258,0.71,317.18,3150,18.0,4.16,187,36.2,0
FSH102655,2016-Q2,Bottoms,Structured,V-Neck,Short,Knee-Length,Beige,White,Animal Print,Polyester,Upcycled,Mid-Range,2016,Q2,2997,9080,4,1,8131,0.77,146.2,25,40.0,3.56,18,43.7,0
FSH102656,2019-Q3,Outerwear,Relaxed,V-Neck,Sleeveless,Maxi,Green,Blue,Floral,Satin,Sustainable,Mid-Range,2019,Q3,12091,645,3,5,27,0.23,261.17,3675,28.1,4.5,67,63.0,1
FSH102657,2022-Q4,Dresses,Structured,Off-Shoulder,Sleeveless,Cropped,Red,White,Solid,Knit,Organic,Luxury,2022,Q4,21082,1023,2,5,14,0.16,361.72,183,9.2,4.19,11,44.4,0
FSH102658,2017-Q1,Accessories,Flowy,Scoop,Sleeveless,Floor-Length,Green,Green,Solid,Denim,Recycled,Luxury,2017,Q1,2575,4129,5,1,119,0.34,394.17,617,8.7,3.1,1993,37.0,0
FSH102659,2017-Q4,Bottoms,Fitted,Crew,Cap,Midi,White,Blue,Animal Print,Cotton,Organic,Premium,2017,Q4,1019,6041,4,2,149,0.78,343.46,65,7.7,4.56,20,53.6,1
FSH102660,2017-Q3,Footwear,Structured,Crew,Sleeveless,Floor-Length,Green,Orange,Solid,Velvet,Conventional,Mid-Range,2017,Q3,6546,5136,2,1,32,0.87,305.49,158,13.0,3.96,14,25.0,0
FSH102661,2018-Q4,Footwear,Tailored,High-Neck,Cap,Mini,Multi,Pink,Solid,Satin,Conventional,Budget,2018,Q4,23746,700,3,2,310,0.49,418.81,342,12.6,4.73,153,41.4,0
FSH102662,2015-Q1,Tops,Relaxed,Scoop,Three-Quarter,Cropped,White,Beige,Floral,Denim,Recycled,Budget,2015,Q1,2279,3152,4,1,473,0.22,203.13,961,6.6,3.53,42,34.9,0
FSH102663,2020-Q1,Bottoms,Tailored,Scoop,Three-Quarter,Maxi,Black,Purple,Solid,Wool,Conventional,Budget,2020,Q1,259,6088,3,2,130,0.2,322.78,221,18.0,4.63,9,35.1,0
FSH102664,2022-Q2,Accessories,Structured,V-Neck,Sleeveless,Maxi,Beige,Beige,Plaid,Denim,Recycled,Budget,2022,Q2,7250,3391,2,1,220,0.94,139.41,293,10.3,3.52,122,61.5,1
FSH102665,2018-Q1,Dresses,Structured,Off-Shoulder,Three-Quarter,Knee-Length,Beige,Pink,Solid,Wool,Recycled,Premium,2018,Q1,4803,3640,2,1,1171,0.48,172.06,552,38.4,4.0,210,33.4,0
FSH102666,2023-Q2,Outerwear,Fitted,Crew,Three-Quarter,Mini,Black,Blue,Geometric,Silk,Upcycled,Mid-Range,2023,Q2,974,7911,2,1,216,0.19,180.99,181,12.9,3.58,20,29.5,0
FSH102667,2015-Q4,Accessories,Flowy,Crew,Long,Maxi,Green,Brown,Floral,Velvet,Conventional,Premium,2015,Q4,417,243,4,1,643,0.19,171.77,139,40.0,4.03,27,27.9,0
FSH102668,2021-Q4,Tops,Oversized,Off-Shoulder,Sleeveless,Cropped,Red,None,Polka Dot,Silk,Organic,Mid-Range,2021,Q4,3065,728,4,2,119,0.75,391.79,275,10.9,3.88,16,57.0,1
FSH102669,2024-Q2,Footwear,Structured,Square,Sleeveless,Cropped,Grey,Pink,Solid,Linen,Conventional,Mid-Range,2024,Q2,7311,107,2,1,381,0.98,244.66,127,21.8,4.12,8,47.1,0
FSH102670,2022-Q3,Accessories,Flowy,Off-Shoulder,Short,Cropped,Beige,Navy,Tie-Dye,Leather,Recycled,Premium,2022,Q3,345,4690,3,2,77,0.27,382.32,1777,20.8,3.89,221,54.6,1
FSH102671,2021-Q3,Outerwear,Oversized,Square,Short,Mini,Multi,Grey,Striped,Wool,Organic,Mid-Range,2021,Q3,38706,383,2,2,50,0.53,166.42,7847,19.6,4.39,54,57.2,1
FSH102672,2016-Q1,Tops,Relaxed,Square,Three-Quarter,Mini,Brown,Yellow,Solid,Leather,Conventional,Luxury,2016,Q1,42252,1476,5,2,119,0.92,208.56,1911,13.3,4.61,29,50.0,0
FSH102673,2021-Q1,Tops,Fitted,Scoop,Short,Maxi,Red,Orange,Floral,Wool,Organic,Mid-Range,2021,Q1,692,6615,3,3,127,0.28,322.07,1490,10.4,3.33,38,54.0,1
FSH102674,2015-Q3,Dresses,Fitted,Square,Long,Knee-Length,Pink,Beige,Solid,Linen,Organic,Mid-Range,2015,Q3,10107,1713,5,3,1197,0.97,212.24,1197,3.6,3.09,38,51.1,0
FSH102675,2023-Q1,Footwear,Flowy,Off-Shoulder,Sleeveless,Knee-Length,Purple,Yellow,Solid,Knit,Recycled,Premium,2023,Q1,1507,324,5,0,769,0.79,475.39,1143,2.0,3.55,45,61.8,1
FSH102676,2015-Q4,Footwear,Fitted,Off-Shoulder,Long,Knee-Length,Brown,Red,Plaid,Satin,Conventional,Mid-Range,2015,Q4,7050,5985,2,2,132,0.78,118.02,129,14.3,4.35,254,41.8,0
FSH102677,2021-Q1,Outerwear,Relaxed,V-Neck,Sleeveless,Midi,Blue,Navy,Solid,Satin,Sustainable,Mid-Range,2021,Q1,19065,5119,4,2,323,0.78,224.83,1703,31.4,4.48,10,50.7,0
FSH102678,2019-Q4,Tops,Relaxed,Scoop,Cap,Floor-Length,Navy,Purple,Solid,Knit,Sustainable,Mid-Range,2019,Q4,25938,6012,2,2,114,0.51,431.11,3805,16.5,4.05,48,48.8,0
FSH102679,2023-Q2,Dresses,Flowy,Square,Bell,Mini,Beige,Red,Animal Print,Leather,Conventional,Mid-Range,2023,Q2,6811,2790,1,0,133,0.31,472.45,709,12.2,4.69,98,42.9,0
FSH102680,2021-Q2,Footwear,Oversized,High-Neck,Sleeveless,Mini,Grey,Yellow,Solid,Knit,Conventional,Budget,2021,Q2,5784,974,3,2,38,0.27,126.19,556,9.1,3.83,22,52.2,1
FSH102681,2016-Q1,Outerwear,Tailored,High-Neck,Bell,Maxi,Green,Blue,Abstract,Silk,Organic,Mid-Range,2016,Q1,1290,122,2,1,73,0.87,475.06,115,22.1,4.4,3,46.3,0
FSH102682,2023-Q3,Accessories,Flowy,Crew,Bell,Floor-Length,Yellow,Orange,Striped,Cotton,Recycled,Premium,2023,Q3,4190,45,1,3,267,0.54,493.41,71,17.7,3.83,131,53.4,1
FSH102683,2021-Q4,Outerwear,Flowy,Off-Shoulder,Long,Cropped,Purple,Beige,Floral,Wool,Conventional,Mid-Range,2021,Q4,8455,415,5,4,257,0.15,87.93,1178,5.4,3.44,224,43.4,0
FSH102684,2022-Q1,Footwear,Fitted,V-Neck,Three-Quarter,Mini,Beige,Green,Solid,Polyester,Conventional,Mid-Range,2022,Q1,3887,918,3,0,256,0.74,74.79,124,16.2,4.16,139,46.7,0
FSH102685,2017-Q1,Outerwear,Relaxed,Off-Shoulder,Short,Knee-Length,Navy,Orange,Polka Dot,Leather,Upcycled,Mid-Range,2017,Q1,1040,388,6,4,246,0.41,56.4,959,25.2,4.86,13,46.6,0
FSH102686,2024-Q2,Outerwear,Fitted,Crew,Short,Midi,Black,Black,Striped,Silk,Conventional,Luxury,2024,Q2,1236,490,1,2,153,0.16,216.07,279,16.8,3.52,79,34.2,0
FSH102687,2016-Q2,Bottoms,Oversized,Off-Shoulder,Long,Cropped,Beige,Green,Solid,Satin,Organic,Premium,2016,Q2,5893,4035,3,2,271,0.21,153.57,1135,16.8,3.6,11,39.4,0
